age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
6.0,8.0,61000.0,2.0,2.0,5.0,0.0,5.0,710000.0,1.0
3.0,7.0,30000.0,1.0,4.0,5.0,0.0,6.0,600000.0,1.0
5.0,3.0,36001.0,1.0,5.0,5.0,0.0,9.0,785000.0,1.0
3.0,3.0,70000.0,1.0,0.0,5.0,0.0,3.0,700000.0,1.0
3.0,8.0,30803.0,1.0,0.0,5.0,0.0,3.0,635000.0,1.0
1.0,7.0,30000.0,1.0,5.0,5.0,0.0,5.0,900000.0,1.0
9.0,11.0,142000.0,2.0,5.0,5.0,0.0,5.0,800000.0,1.0
3.0,8.0,50000.0,3.0,2.0,5.0,0.0,5.0,750000.0,1.0
3.0,13.0,30000.0,1.0,2.0,5.0,7.0,5.0,750000.0,1.0
7.0,13.0,616125.0,1.0,2.0,5.0,7.0,3.0,525000.0,1.0
6.0,13.0,48259.0,1.0,2.0,5.0,3.0,3.0,850000.0,1.0
3.0,7.0,11500.0,1.0,5.0,5.0,7.0,5.0,800000.0,1.0
5.0,2.0,78000.0,1.0,2.0,5.0,7.0,5.0,650000.0,1.0
4.0,7.0,27000.0,2.0,0.0,5.0,0.0,3.0,735000.0,1.0
0.0,7.0,4500.0,1.0,4.0,5.0,0.0,3.0,800000.0,1.0
8.0,8.0,90000.0,2.0,5.0,5.0,0.0,11.0,520000.0,1.0
3.0,8.0,17900.0,1.0,0.0,5.0,0.0,3.0,675000.0,1.0
6.0,13.0,100000.0,1.0,0.0,5.0,7.0,5.0,700000.0,1.0
1.0,7.0,30000.0,9.0,0.0,5.0,7.0,5.0,900000.0,1.0
3.0,19.0,60000.0,1.0,4.0,5.0,0.0,3.0,820000.0,1.0
6.0,11.0,137500.0,2.0,4.0,5.0,0.0,3.0,600000.0,1.0
7.0,8.0,61884.0,2.0,0.0,5.0,0.0,3.0,725000.0,1.0
6.0,8.0,68781.0,1.0,0.0,5.0,0.0,3.0,600000.0,1.0
3.0,2.0,25128.0,1.0,0.0,5.0,0.0,5.0,558000.0,1.0
6.0,8.0,70000.0,1.0,5.0,5.0,0.0,5.0,900000.0,1.0
10.0,19.0,90000.0,2.0,5.0,7.0,0.0,8.0,600000.0,1.0
3.0,2.0,60000.0,1.0,5.0,5.0,0.0,5.0,850000.0,1.0
0.0,8.0,1000.0,1.0,0.0,5.0,0.0,5.0,550000.0,1.0
7.0,8.0,62000.0,2.0,5.0,5.0,7.0,5.0,825000.0,1.0
5.0,11.0,250000.0,2.0,4.0,5.0,0.0,3.0,685689.0,1.0
8.0,8.0,87124.0,2.0,2.0,5.0,0.0,11.0,655000.0,1.0
2.0,18.0,95000.0,3.0,0.0,5.0,0.0,3.0,715000.0,1.0
6.0,2.0,59000.0,2.0,5.0,5.0,0.0,5.0,600000.0,1.0
4.0,8.0,78990.0,3.0,1.0,5.0,0.0,3.0,750000.0,1.0
6.0,2.0,40000.0,1.0,0.0,5.0,0.0,8.0,580000.0,1.0
7.0,3.0,75000.0,2.0,1.0,5.0,0.0,3.0,600000.0,1.0
6.0,8.0,26196.0,1.0,5.0,5.0,0.0,3.0,899000.0,1.0
2.0,2.0,24931.0,1.0,0.0,5.0,7.0,8.0,552000.0,1.0
8.0,3.0,95000.0,2.0,0.0,5.0,0.0,3.0,700000.0,1.0
5.0,8.0,31472.0,1.0,0.0,5.0,0.0,3.0,555000.0,1.0
4.0,3.0,74000.0,1.0,0.0,5.0,0.0,3.0,680000.0,1.0
8.0,13.0,74000.0,2.0,2.0,5.0,0.0,3.0,625000.0,1.0
3.0,12.0,44930.0,1.0,5.0,5.0,0.0,5.0,623100.0,1.0
8.0,19.0,450000.0,2.0,5.0,7.0,0.0,5.0,700000.0,1.0
0.0,8.0,10000.0,3.0,1.0,5.0,0.0,3.0,600000.0,1.0
8.0,8.0,80000.0,1.0,0.0,5.0,0.0,6.0,550000.0,1.0
7.0,2.0,51000.0,1.0,2.0,5.0,7.0,11.0,650000.0,1.0
9.0,18.0,92452.0,2.0,8.0,7.0,0.0,8.0,635000.0,1.0
4.0,13.0,11250.0,1.0,2.0,5.0,7.0,5.0,781000.0,1.0
4.0,18.0,47000.0,1.0,4.0,5.0,0.0,6.0,820000.0,1.0
7.0,3.0,61000.0,2.0,5.0,5.0,0.0,3.0,795000.0,1.0
7.0,13.0,24000.0,1.0,2.0,5.0,0.0,5.0,690000.0,1.0
5.0,3.0,24380.0,1.0,0.0,5.0,0.0,3.0,650000.0,1.0
4.0,7.0,49555.0,1.0,0.0,5.0,0.0,3.0,600000.0,1.0
9.0,3.0,93000.0,2.0,2.0,5.0,0.0,3.0,550000.0,1.0
4.0,11.0,64000.0,1.0,4.0,5.0,0.0,6.0,675000.0,1.0
5.0,7.0,25000.0,1.0,4.0,5.0,0.0,3.0,850000.0,1.0
4.0,19.0,40450.0,1.0,4.0,5.0,0.0,3.0,830000.0,1.0
1.0,13.0,40000.0,1.0,2.0,5.0,0.0,5.0,835000.0,1.0
2.0,7.0,30000.0,1.0,0.0,5.0,0.0,5.0,700000.0,1.0
6.0,2.0,80000.0,1.0,0.0,5.0,0.0,5.0,650000.0,1.0
3.0,2.0,25000.0,1.0,0.0,5.0,0.0,5.0,780000.0,1.0
1.0,7.0,10000.0,1.0,5.0,5.0,0.0,5.0,800000.0,1.0
5.0,19.0,50000.0,2.0,5.0,7.0,0.0,5.0,810000.0,1.0
2.0,7.0,40000.0,9.0,0.0,5.0,7.0,3.0,900000.0,1.0
3.0,4.0,20000.0,1.0,8.0,7.0,0.0,5.0,700000.0,1.0
1.0,18.0,30000.0,3.0,0.0,5.0,0.0,5.0,900000.0,1.0
3.0,8.0,38000.0,1.0,5.0,5.0,0.0,5.0,898000.0,1.0
5.0,3.0,36500.0,1.0,0.0,5.0,0.0,3.0,640000.0,1.0
4.0,4.0,16000.0,1.0,5.0,5.0,0.0,5.0,650000.0,1.0
0.0,18.0,101.0,1.0,0.0,5.0,0.0,2.0,820000.0,1.0
4.0,12.0,20000.0,1.0,5.0,5.0,0.0,5.0,580000.0,1.0
9.0,8.0,92641.0,1.0,5.0,5.0,0.0,3.0,720000.0,1.0
11.0,35.0,90000.0,2.0,2.0,5.0,7.0,3.0,800000.0,1.0
9.0,11.0,100000.0,2.0,5.0,5.0,0.0,13.0,550000.0,1.0
6.0,3.0,73000.0,2.0,5.0,5.0,2.0,3.0,750000.0,1.0
3.0,2.0,20000.0,1.0,0.0,5.0,0.0,5.0,555000.0,1.0
4.0,8.0,98000.0,2.0,4.0,5.0,0.0,3.0,900000.0,1.0
11.0,19.0,114000.0,2.0,5.0,7.0,0.0,3.0,545000.0,1.0
9.0,3.0,76000.0,2.0,1.0,5.0,0.0,3.0,675000.0,1.0
9.0,8.0,114000.0,2.0,5.0,5.0,7.0,3.0,775000.0,1.0
1.0,7.0,18000.0,1.0,0.0,5.0,0.0,3.0,800000.0,1.0
2.0,7.0,44000.0,3.0,0.0,5.0,0.0,8.0,590000.0,1.0
9.0,8.0,58000.0,2.0,2.0,5.0,7.0,3.0,855000.0,1.0
7.0,3.0,100000.0,2.0,5.0,5.0,0.0,3.0,700000.0,1.0
6.0,25.0,150000.0,2.0,5.0,5.0,0.0,5.0,800000.0,1.0
4.0,2.0,70000.0,3.0,0.0,5.0,0.0,5.0,530000.0,1.0
10.0,13.0,41200.0,1.0,2.0,5.0,7.0,5.0,525000.0,1.0
8.0,13.0,60000.0,2.0,2.0,5.0,0.0,8.0,785000.0,1.0
2.0,4.0,29000.0,1.0,5.0,5.0,0.0,5.0,575000.0,1.0
6.0,7.0,70000.0,1.0,5.0,5.0,0.0,8.0,550000.0,1.0
5.0,8.0,50000.0,1.0,1.0,5.0,0.0,6.0,530000.0,1.0
8.0,2.0,225000.0,2.0,8.0,7.0,0.0,8.0,725000.0,1.0
3.0,7.0,62000.0,9.0,4.0,5.0,7.0,3.0,846000.0,1.0
2.0,3.0,33000.0,1.0,1.0,5.0,0.0,3.0,800000.0,1.0
4.0,8.0,75000.0,1.0,5.0,5.0,0.0,3.0,825000.0,1.0
3.0,7.0,25828.0,1.0,0.0,5.0,0.0,3.0,730000.0,1.0
8.0,3.0,232000.0,2.0,5.0,5.0,0.0,3.0,650000.0,1.0
9.0,3.0,75000.0,1.0,0.0,5.0,0.0,3.0,525000.0,1.0
