age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price
7.0,13.0,47400.0,1.0,0.0,5.0,7.0,3.0,605000.0
3.0,8.0,50000.0,2.0,5.0,5.0,0.0,5.0,950000.0
2.0,14.0,37000.0,1.0,5.0,5.0,0.0,5.0,1050000.0
2.0,34.0,38199.0,2.0,5.0,5.0,4.0,3.0,7800000.0
3.0,7.0,45987.0,9.0,4.0,5.0,7.0,3.0,1075000.0
12.0,8.0,95000.0,1.0,0.0,5.0,0.0,3.0,150000.0
9.0,8.0,166000.0,2.0,5.0,5.0,7.0,3.0,847834.0
6.0,4.0,70000.0,1.0,5.0,5.0,7.0,11.0,650000.0
13.0,8.0,86000.0,1.0,0.0,5.0,0.0,6.0,250000.0
3.0,18.0,45000.0,1.0,0.0,5.0,2.0,3.0,750000.0
3.0,8.0,50000.0,1.0,0.0,5.0,0.0,3.0,700000.0
9.0,9.0,130000.0,2.0,0.0,5.0,0.0,8.0,225000.0
7.0,1.0,50000.0,1.0,0.0,5.0,0.0,8.0,280000.0
12.0,2.0,105000.0,1.0,0.0,5.0,0.0,11.0,150000.0
13.0,19.0,150000.0,2.0,2.0,5.0,0.0,8.0,140000.0
7.0,2.0,47000.0,1.0,0.0,5.0,0.0,5.0,450000.0
5.0,3.0,250000.0,1.0,0.0,5.0,0.0,3.0,350000.0
2.0,7.0,15000.0,9.0,4.0,5.0,7.0,3.0,1450000.0
4.0,19.0,65000.0,2.0,5.0,7.0,0.0,3.0,1275000.0
3.0,2.0,30000.0,1.0,0.0,5.0,0.0,8.0,670000.0
7.0,27.0,33955.0,1.0,5.0,5.0,7.0,3.0,14000000.0
9.0,2.0,93000.0,2.0,2.0,5.0,0.0,5.0,370000.0
6.0,2.0,63000.0,2.0,5.0,5.0,0.0,8.0,800000.0
3.0,19.0,19000.0,2.0,5.0,7.0,7.0,5.0,1950000.0
2.0,19.0,11336.0,2.0,4.0,7.0,0.0,3.0,850000.0
15.0,2.0,100000.0,2.0,0.0,5.0,0.0,11.0,120000.0
14.0,3.0,110000.0,1.0,0.0,5.0,0.0,9.0,80000.0
20.0,7.0,90000.0,2.0,0.0,0.0,0.0,6.0,350000.0
1.0,2.0,80000.0,3.0,2.0,5.0,0.0,5.0,950000.0
7.0,4.0,90000.0,1.0,0.0,5.0,0.0,11.0,225000.0
5.0,4.0,40000.0,1.0,5.0,5.0,0.0,5.0,700000.0
